"filename", "language", "JSON with Comments", "CSS", "HTML", "JSON", "TypeScript", "Markdown", "comment", "blank", "total"
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 14, 28
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\angular.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 1, 102
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\package-lock.json", "JSON", 0, 0, 0, 11594, 0, 0, 0, 1, 11595
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\package.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 1, 42
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 5, 62
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\app.component.html", "HTML", 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 5, 36
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 101, 0, 2, 23, 126
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-edit-admin\producto-edit-admin.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-edit-admin\producto-edit-admin.component.html", "HTML", 0, 0, 187, 0, 0, 0, 0, 17, 204
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-edit-admin\producto-edit-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-edit-admin\producto-edit-admin.component.ts", "TypeScript", 0, 0, 0, 0, 205, 0, 3, 24, 232
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-new-admin\producto-new-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-new-admin\producto-new-admin.component.html", "HTML", 0, 0, 189, 0, 0, 0, 0, 26, 215
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-new-admin\producto-new-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-new-admin\producto-new-admin.component.ts", "TypeScript", 0, 0, 0, 0, 101, 0, 1, 13, 115
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-plist-admin\producto-plist-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-plist-admin\producto-plist-admin.component.html", "HTML", 0, 0, 86, 0, 0, 0, 3, 1, 90
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-plist-admin\producto-plist-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-plist-admin\producto-plist-admin.component.ts", "TypeScript", 0, 0, 0, 0, 76, 0, 9, 22, 107
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-remove-admin\producto-remove-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-remove-admin\producto-remove-admin.component.html", "HTML", 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-remove-admin\producto-remove-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-remove-admin\producto-remove-admin.component.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 9, 44
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-view-admin\producto-view-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-view-admin\producto-view-admin.component.html", "HTML", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-view-admin\producto-view-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\admin\producto-view-admin\producto-view-admin.component.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 7, 36
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\usuario\producto-plist-usuario\producto-plist-usuario.component.css", "CSS", 0, 86, 0, 0, 0, 0, 0, 13, 99
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\usuario\producto-plist-usuario\producto-plist-usuario.component.html", "HTML", 0, 0, 65, 0, 0, 0, 1, 5, 71
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\usuario\producto-plist-usuario\producto-plist-usuario.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\routed\usuario\producto-plist-usuario\producto-plist-usuario.component.ts", "TypeScript", 0, 0, 0, 0, 86, 0, 1, 19, 106
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\unrouted\producto-detail-admin-unrouted\producto-detail-admin-unrouted.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\unrouted\producto-detail-admin-unrouted\producto-detail-admin-unrouted.component.html", "HTML", 0, 0, 32, 0, 0, 0, 0, 1, 33
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\unrouted\producto-detail-admin-unrouted\producto-detail-admin-unrouted.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\producto\unrouted\producto-detail-admin-unrouted\producto-detail-admin-unrouted.component.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 7, 36
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-edit-admin\tipoproducto-edit-admin.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-edit-admin\tipoproducto-edit-admin.component.html", "HTML", 0, 0, 34, 0, 0, 0, 0, 9, 43
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-edit-admin\tipoproducto-edit-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-edit-admin\tipoproducto-edit-admin.component.ts", "TypeScript", 0, 0, 0, 0, 86, 0, 1, 11, 98
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-new-admin\tipoproducto-new-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-new-admin\tipoproducto-new-admin.component.html", "HTML", 0, 0, 58, 0, 0, 0, 0, 12, 70
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-new-admin\tipoproducto-new-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-new-admin\tipoproducto-new-admin.component.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 1, 13, 83
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-plist-admin\tipoproducto-plist-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-plist-admin\tipoproducto-plist-admin.component.html", "HTML", 0, 0, 62, 0, 0, 0, 0, 2, 64
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-plist-admin\tipoproducto-plist-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-plist-admin\tipoproducto-plist-admin.component.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 1, 14, 86
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-remove-admin\tipoproducto-remove-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-remove-admin\tipoproducto-remove-admin.component.html", "HTML", 0, 0, 23, 0, 0, 0, 0, 3, 26
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-remove-admin\tipoproducto-remove-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-remove-admin\tipoproducto-remove-admin.component.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 7, 42
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-view-admin\tipoproducto-view-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-view-admin\tipoproducto-view-admin.component.html", "HTML", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-view-admin\tipoproducto-view-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\routed\admin\tipoproducto-view-admin\tipoproducto-view-admin.component.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 6, 35
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\unrouted\tipoproducto-detail-admin-unrouted\tipoproducto-detail-admin-unrouted.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\unrouted\tipoproducto-detail-admin-unrouted\tipoproducto-detail-admin-unrouted.component.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\unrouted\tipoproducto-detail-admin-unrouted\tipoproducto-detail-admin-unrouted.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\unrouted\tipoproducto-detail-admin-unrouted\tipoproducto-detail-admin-unrouted.component.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 9, 38
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\unrouted\tipoproducto-finder\tipoproducto-finder.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\unrouted\tipoproducto-finder\tipoproducto-finder.component.html", "HTML", 0, 0, 41, 0, 0, 0, 0, 3, 44
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\unrouted\tipoproducto-finder\tipoproducto-finder.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipoproducto\unrouted\tipoproducto-finder\tipoproducto-finder.component.ts", "TypeScript", 0, 0, 0, 0, 99, 0, 1, 17, 117
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-edit-admin\tipousuario-edit-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-edit-admin\tipousuario-edit-admin.component.html", "HTML", 0, 0, 36, 0, 0, 0, 0, 10, 46
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-edit-admin\tipousuario-edit-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-edit-admin\tipousuario-edit-admin.component.ts", "TypeScript", 0, 0, 0, 0, 86, 0, 1, 12, 99
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-new-admin\tipousuario-new-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-new-admin\tipousuario-new-admin.component.html", "HTML", 0, 0, 58, 0, 0, 0, 0, 12, 70
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-new-admin\tipousuario-new-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-new-admin\tipousuario-new-admin.component.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 1, 16, 86
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-plist-admin\tipousuario-plist-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-plist-admin\tipousuario-plist-admin.component.html", "HTML", 0, 0, 62, 0, 0, 0, 0, 2, 64
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-plist-admin\tipousuario-plist-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-plist-admin\tipousuario-plist-admin.component.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 1, 15, 87
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-remove-admin\tipousuario-remove-admin.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-remove-admin\tipousuario-remove-admin.component.html", "HTML", 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-remove-admin\tipousuario-remove-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-remove-admin\tipousuario-remove-admin.component.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 9, 44
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-view-admin\tipousuario-view-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
